SAISON,COMMUNE,NOM_DU_TIERS,NOM_EMS,MT_TARIF_ANNUEL,NB_SEMAINES_FONCTIONNEMENT_ANNUEL,NB_JEUNE_INSCRIT,NB_FILLES_INSCRITES,NB_PLAQUETTE_CG33,NB_JEUNES_6_7_ans,NB_JEUNES_8_9_ans,NB_JEUNES_10_11_ans
2009/2010,SAINT-SAUVEUR,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC St Sauveur,0,31,23,9,0,7,10,6
2009/2010,SAINT-SELVE,COMMUNE DE SAINT SELVE,CCEJ St Selve,120,25,32,8,0,13,11,8
2009/2010,SAINT-SEURIN-DE-CADOURNE,CDC DU CENTRE MEDOC,CDC CENTRE MEDOC ST Seurin,0,30,18,7,0,5,7,6
2009/2010,SAINT-SULPICE-ET-CAMEYRAC,COMMUNE DE SAINT SULPICE CAMEYRAC,ST SULPICE ET CAMEYRAC,40,32,42,23,400,18,17,7
2009/2010,SAINT-SYMPHORIEN,CDC DU PAYS DE PAROUPIAN,CDC Pays Paroupian,0,32,19,7,0,11,8,0
2009/2010,SAINT-VINCENT-DE-PAUL,COMMUNE DE SAINT VINCENT DE PAUL,ST VINCENT DE PAUL,42,34,16,10,300,6,0,10
2009/2010,SAINT-VIVIEN-DE-MEDOC,ASS SPORT ET LOISIRS DE ST VIVIEN,ASL ST VIVIEN MEDOC,36,34,15,7,100,9,6,0
2009/2010,SAINT-YZAN-DE-SOUDIAC,COMMUNE DE SAINT YZAN DE SOUDIAC,ST YZAN DE SOUDIAC,24,29,31,8,60,17,8,6
2009/2010,SAINTE-EULALIE,COMMUNE DE SAINTE EULALIE,STE EULALIE,50,30,10,2,1000,4,4,2
2009/2010,SAINTE-FOY-LA-GRANDE,CDC DU PAYS FOYEN,CDC Pays Foyen Paul Bert,40,28,8,5,0,3,3,2
2009/2010,SALAUNES,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Salaunes,30,32,7,4,0,4,4,3
2009/2010,SALIGNAC,COMMUNE DE SALIGNAC,SALIGNAC,0,31,64,29,50,22,25,17
2009/2010,SALLEBOEUF,ASSOCIATION TAM TAM,Tam Tam,140,33,62,20,0,28,20,14
2009/2010,SALLES,CAISSE DES ECOLES DE SALLES,SALLES,48,29,52,12,500,7,30,15
2009/2010,SAUCATS,COMMUNE DE SAUCATS,Saucats,0,32,20,6,0,6,10,4
2009/2010,SAUVETERRE-DE-GUYENNE,CDC DU PAYS SAUVETERROIS,CDC PAYS SAUVETERRE,0,23,22,12,0,5,5,12
2009/2010,SAUVETERRE-DE-GUYENNE,COMMUNE DE SAUVETERRE DE GUYENNE,SAUVETERRE DE GUYENNE,0,35,18,7,0,3,7,8
2009/2010,SOULAC-SUR-MER,COMMUNE DE SOULAC SUR MER,SOULAC,0,30,15,5,250,1,6,8
2009/2010,TABANAC,CDC DU VALLON D ARTOLIE,TABANAC,51,29,28,6,0,6,17,5
2009/2010,TARGON,COMMUNE DE TARGON,TARGON,60,34,26,12,500,8,9,9
2009/2010,TEUILLAC,COMMUNE DE TEUILLAC,TEUILLAC,0,27,14,9,40,2,12,0
2009/2010,TOULENNE,COMMUNE DE TOULENNE,TOULENNE,0,32,45,21,0,15,0,30
2009/2010,TRESSES,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Tresses,15,30,46,12,0,26,10,10
2009/2010,VERAC,CDC DU FRONSADAIS,VERAC,18,31,24,11,0,0,9,15
2009/2010,VERDELAIS,CENTRE DE VACANCES ET DE LOISIRS VERDELAISIEN,CVLV ST Maixant,0,34,52,23,0,8,31,13
2009/2010,VILLENAVE-D'ORNON,COMMUNE DE VILLENAVE D'ORNON,VILLENAVE D ORNON,0,33,100,27,0,42,39,19
2009/2010,VILLENEUVE,SIRP VILLENEUVE ST CIERS CANESSE,ST CIERS DE CANESSE,15,28,20,11,50,6,10,4
2010/2011,ABZAC,COMMUNE D'ABZAC,Abzac,13,30,60,25,150,20,24,16
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,A.S.Ambares,0,34,91,33,1500,53,28,10
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,A.S.Ambarès,0,0,0,0,0,0,0,0
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,A.S.Ambares Handiscole,70,34,10,4,200,0,4,6
2010/2011,AMBARES-ET-LAGRAVE,ASSOCIATION SPORTIVE AMBARESIENNE,ASA Ambares Handi,0,0,0,0,0,0,0,0
2010/2011,ARES,COMMUNE D'ARES,Ares,15,31,98,45,0,42,30,26
2010/2011,ARTIGUES-PRES-BORDEAUX,COMMUNE D'ARTIGUES PRES BORDEAUX,Artigues de Bordeaux,0,30,24,8,0,6,11,7
2010/2011,ARTIGUES-PRES-BORDEAUX,COMMUNE D'ARTIGUES PRES BORDEAUX,Artigues,0,0,0,0,0,0,0,0
2010/2011,AUBIE-ET-ESPESSAS,COMMUNE D'AUBIE ET ESPESSAS,Aubie et Espessas,15,28,32,19,80,4,14,14
2010/2011,AUDENGE,COMMUNE D'AUDENGE,Audenge,20,25,53,17,500,20,17,16
2010/2011,AVENSAN,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Avensan,0,0,0,0,0,0,0,0
2010/2011,AVENSAN,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Avensan,30,33,44,16,0,14,14,16
2010/2011,BARIE,BARIE CASTETS BASKET CLUB,Barie Castets Basket,0,31,19,8,50,5,8,6
2010/2011,BARIE,BARIE CASTETS BASKET CLUB,Barie Castets Basket Club,0,0,0,0,0,0,0,0
2010/2011,BASSENS,COMMUNE DE BASSENS,Bassens,45,33,60,25,0,20,20,20
2010/2011,BAZAS,COMMUNE DE BAZAS,Bazas,0,0,0,0,0,0,0,0
2010/2011,BAZAS,COMMUNE DE BAZAS,BAZAS,0,30,70,30,0,25,24,21
2010/2011,BEAUTIRAN,SI DES CENTRES D'ACCUEIL ET DE LOISIRS,SICAL Beautiran,52,33,36,13,60,21,15,0
2010/2011,BEGLES,CLUB ATHLETIQUE BEGLAIS,C.A Bèglais,100,33,65,12,0,57,8,0
2010/2011,BEYCHAC-ET-CAILLAU,ASSOCIATION POUR LOISIRS ENFANTS ET JEUNES,ALEJ Beychac,53,35,39,11,1000,18,11,10
2010/2011,BIGANOS,COMMUNE DE BIGANOS,Biganos,0,30,45,16,0,17,23,5
2010/2011,BLANQUEFORT,ESB OMNISPORT,E.S Blanquefort omnisports,0,0,0,0,0,0,0,0
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Saturne,29,29,43,9,0,19,12,12
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Caychac,0,0,0,0,0,0,0,0
2010/2011,BLANQUEFORT,ESB OMNISPORT,ESB Blanquefort,70,30,51,14,0,24,15,12
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Baychac,29,29,40,4,0,17,13,10
2010/2011,BLANQUEFORT,COMMUNE DE BLANQUEFORT,Blanquefort Renney,30,30,39,6,0,15,13,11
2010/2011,BLAYE,COMMUNE DE BLAYE,Blaye Vallaeys,0,31,16,9,30,0,9,7
2010/2011,BLAYE,COMMUNE DE BLAYE,Blaye Malbeteau,0,29,10,6,30,0,4,6
2010/2011,BONZAC,COMMUNE DE BONZAC,BONZAC,30,27,12,11,0,0,7,5
2010/2011,BONZAC,COMMUNE DE BONZAC,Bonzac,0,0,0,0,0,0,0,0
2010/2011,BORDEAUX,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Tresses,13,25,27,12,0,12,5,10
2010/2011,BORDEAUX,LES JEUNES DE SAINT AUGUSTIN,JSA,0,0,0,0,0,0,0,0
2010/2011,BORDEAUX,ASSOCIATION PROMOTION INSERTION SPORT EN AQUITAINE,APIS Promotion Insertion Sport,10,22,36,11,0,14,13,9
2010/2011,BORDEAUX,CLUB PYRENEES AQUITAINE,CPA TAUZIN,80,32,26,8,0,16,4,6
2010/2011,BORDEAUX,LES JEUNES DE SAINT AUGUSTIN,J.S.A,90,32,127,42,0,38,45,44
2010/2011,BORDEAUX,ASPTT BORDEAUX,ASPTT Bordeaux,200,35,64,27,0,42,12,10
2010/2011,BORDEAUX,UNION SAINT JEAN,UNION ST JEAN,0,35,20,7,0,0,14,6
2010/2011,BORDEAUX,GIRONDINS DE BORDEAUX HAND BALL CLUB,Girondins de Bx Hand,0,0,0,0,0,0,0,0
2010/2011,BORDEAUX,UNION SAINT JEAN,Union St Jean,0,0,0,0,0,0,0,0
2010/2011,BORDEAUX,UNION SPORTIVE LES CHARTRONS,U.S Chartrons,0,35,63,16,0,14,32,17
2010/2011,BORDEAUX,COQS ROUGES,Coqs Rouges,150,35,8,0,0,8,0,0
2010/2011,BORDEAUX,CLUB PYRENEES AQUITAINE,EMS CPA TAUZIN,0,33,32,10,0,9,19,4
2010/2011,BORDEAUX,GIRONDINS DE BORDEAUX HAND BALL CLUB,Girondins Bordeaux Hand,50,35,108,41,0,57,44,7
2010/2011,BORDEAUX,COQS ROUGES,Les Coqs Rouges,0,0,0,0,0,0,0,0
2010/2011,BORDEAUX,UNION SAINT BRUNO,Union St Bruno,165,32,26,5,0,10,13,3
2010/2011,BORDEAUX,CLUB PYRENEES AQUITAINE,CPA Maison Tauzin,0,0,0,0,0,0,0,0
2010/2011,BOULIAC,COMMUNE DE BOULIAC,Bouliac,60,31,34,9,300,9,16,9
2010/2011,BRACH,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Brach,0,0,0,0,0,0,0,0
2010/2011,BRACH,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Brach,30,33,7,2,0,5,2,0
2010/2011,BRANNE,COMMUNE DE BRANNE,Branne,30,32,42,21,50,8,10,24
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges C Claudel,0,0,0,0,0,0,0,0
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Laurencin,50,31,15,6,0,15,0,0
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Claudel,50,31,17,10,0,0,1,16
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges La Marianne,50,31,10,4,0,4,2,4
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Prevert,50,31,60,20,0,30,10,20
2010/2011,BRUGES,COMMUNE DE BRUGES,Bruges Prévert,0,0,0,0,0,0,0,0
2010/2011,CADAUJAC,CCAS DE CADAUJAC,CCAS Cadaujac,0,0,0,0,0,0,0,0
2010/2011,CADAUJAC,COMMUNE DE CADAUJAC,CCAS Cadaujac,0,31,45,15,0,15,15,15
2010/2011,CAMARSAC,FRIMOUSSE DES COTEAUX,Frimousse des Côteaux,0,34,25,10,0,10,15,0
2010/2011,CAMBLANES-ET-MEYNAC,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS Camblanes,40,31,19,2,0,0,11,8
2010/2011,CAMBLANES-ET-MEYNAC,CDC PORTES ENTRE DEUX MERS,CDC Portes Entre 2 Mers Camblannes,0,0,0,0,0,0,0,0
2010/2011,CANEJAN,COMMUNE DE CANEJAN,Canéjan,0,32,52,28,0,0,17,35
2010/2011,CANEJAN,COMMUNE DE CANEJAN,Canejan,0,0,0,0,0,0,0,0
2010/2011,CARBON-BLANC,COMMUNE DE CARBON BLANC,Carbon Blanc Barbou,46,34,56,29,500,56,0,0
2010/2011,CARBON-BLANC,COMMUNE DE CARBON BLANC,Carbon Blanc Pasteur,46,34,48,28,500,0,36,12
2010/2011,CARCANS,COMMUNE DE CARCANS,CARCANS,0,31,55,13,0,22,18,15
2010/2011,CARCANS,COMMUNE DE CARCANS,Carcans,0,0,0,0,0,0,0,0
2010/2011,CARIGNAN-DE-BORDEAUX,CLUB ATHLETIQUE CARIGNANAIS OMNISPORT,C.A Carignanais,0,34,53,31,0,20,23,10
2010/2011,CARTELEGUE,COMMUNE DE CARTELEGUE,Cartelegue,0,29,15,6,40,0,4,11
2010/2011,CASTELNAU-DE-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Castelnau,0,0,0,0,0,0,0,0
2010/2011,CASTELNAU-DE-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Castelnau,30,33,16,6,0,6,6,4
2010/2011,CASTILLON-LA-BATAILLE,AMICALE LAIQUE CASTILLONAISE,Amicale Laïque Castillon,85,30,78,49,0,42,30,6
2010/2011,CASTILLON-LA-BATAILLE,AMICALE LAIQUE CASTILLONAISE,Amical Laïque Castillon la Bataille,0,0,0,0,0,0,0,0
2010/2011,CAUDROT,COMMUNE DE CAUDROT,CAUDROT,0,33,37,21,0,11,11,15
2010/2011,CAUDROT,COMMUNE DE CAUDROT,Caudrot,0,0,0,0,0,0,0,0
2010/2011,CAVIGNAC,COMMUNE DE CAVIGNAC,Cavignac,15,27,19,6,50,0,0,19
2010/2011,CENON,OFFICE MINICIPAL DES SPORTS DE CENON,OMS Cenon,120,30,60,22,0,39,20,1
2010/2011,CESTAS,SPORT ATHLETIQUE GAZINET CESTAS OMNISPORTS,SAGC Cestas,0,31,87,37,0,41,31,15
2010/2011,CESTAS,PATRONAGE LAIQUE CAZEMAJOR YSER,Patronage Laïque Cazemajor,0,0,0,0,0,0,0,0
2010/2011,CESTAS,SPORT ATHLETIQUE GAZINET CESTAS OMNISPORTS,SAGC SPORTS DECOUVERTE JEUNES,0,0,0,0,0,0,0,0
2010/2011,CESTAS,PATRONAGE LAIQUE CAZEMAJOR YSER,Patronage Laïque Cazemajor Yser,48,33,24,7,0,3,13,8
2010/2011,CHAMADELLE,COMMUNE DE CHAMADELLE,Chamadelle,0,34,15,8,0,0,5,10
2010/2011,CISSAC-MEDOC,CDC DU CENTRE MEDOC,CDC Centre Médoc Cissac,0,30,14,5,0,3,8,3
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Haux,0,0,0,0,0,0,0,0
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon Haux,356,26,7,3,0,3,4,0
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon,90,28,32,11,0,12,20,0
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C La Sauve,90,25,13,0,0,0,13,0
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Baron,90,29,9,2,0,2,5,2
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,LJCréon Lignan,90,29,26,6,0,12,10,4
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Créon,0,0,0,0,0,0,0,0
2010/2011,CREON,ASSOCIATION LOISIRS JEUNES EN CREONNAIS,L.J.C Lignan,0,0,0,0,0,0,0,0
2010/2011,CUBZAC-LES-PONTS,COMMUNE DE CUBZAC LES PONTS,Cubzac les Ponts,24,29,24,4,50,10,12,2
2010/2011,DONNEZAC,COMMUNE DE DONNEZAC,DONNEZAC,15,27,17,10,40,1,15,1
2010/2011,DONNEZAC,COMMUNE DE DONNEZAC,Donnezac,0,0,0,0,0,0,0,0
2010/2011,EYNESSE,CDC DU PAYS FOYEN,CDC Pays Foyen Eynesse,0,0,0,0,0,0,0,0
2010/2011,EYNESSE,CDC DU PAYS FOYEN,CDC Foyen Eynesse,0,30,11,5,0,3,8,0
2010/2011,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,MJCS Eysines,10,21,137,52,1000,73,45,19
2010/2011,EYSINES,MAISON DES JEUNES DE LA CULTURE ET DES SPORTS,Eycho MJCS Eysines,10,21,137,52,1000,73,45,19
2010/2011,FARGUES-SAINT-HILAIRE,GIRONDESPORTS,Association Girondesports,0,0,0,0,0,0,0,0
2010/2011,FARGUES-SAINT-HILAIRE,GIRONDESPORTS,Asso Girondesports,0,31,14,5,0,7,4,3
2010/2011,FLAUJAGUES,SIRP DE FLAUJAGUES MOULIETS ET VILLEMARTIN,SIRP Flaujagues et Mouliets,0,30,22,5,50,12,5,5
2010/2011,FLAUJAGUES,SIRP DE FLAUJAGUES MOULIETS ET VILLEMARTIN,SIRP Flaujagues Mouliets,0,0,0,0,0,0,0,0
2010/2011,FRONSAC,CDC DU FRONSADAIS,CDC Fronsac,18,29,12,5,0,0,3,9
2010/2011,GALGON,CDC DU FRONSADAIS,CDC Fronsac Galgon,18,29,11,4,0,0,0,11
2010/2011,GAURIAGUET,COMMUNE DE GAURIAGUET,Gauriaguet,0,34,33,17,33,5,14,14
2010/2011,GENERAC,SIRP DE GENERAC SAUGON,SIRP Generac/Saugon,0,0,0,0,0,0,0,0
2010/2011,GENERAC,SIRP DE GENERAC SAUGON,SIRP Générac,0,28,18,8,40,0,10,8
2010/2011,GRADIGNAN,COMMUNE DE GRADIGNAN,EPAJG Gradignan,0,0,0,0,0,0,0,0
2010/2011,GRADIGNAN,COMMUNE DE GRADIGNAN,EPAJG,0,34,24,5,0,8,13,3
2010/2011,GRADIGNAN,COSOG CDC,COSOG Gradignan,0,0,0,0,0,0,0,0
2010/2011,GRADIGNAN,COSOG CDC,COSOG,0,33,25,2,0,10,8,7
2010/2011,GRAYAN-ET-L'HOPITAL,COMMUNE DE GRAYAN ET L'HOPITAL,Grayan et L'Hopital,0,30,24,18,200,6,9,9
2010/2011,GUITRES,COMMUNE DE GUITRES,Guitres,15,31,34,11,0,5,15,14
2010/2011,HOURTIN,UNION SPORTIVE ET CULTURELLE D'HOURTIN,U.S.C Hourtin,10,35,73,56,200,25,21,27
2010/2011,HOURTIN,UNION SPORTIVE ET CULTURELLE D'HOURTIN,USC Hourtin,0,0,0,0,0,0,0,0
2010/2011,IZON,COMMUNE D'IZON,Izon,27,31,69,30,0,43,15,11
2010/2011,LA-BREDE,COMMUNE DE LA BREDE,La Brède,0,0,0,0,0,0,0,0
2010/2011,LA-BREDE,COMMUNE DE LA BREDE,LA BREDE,38,28,27,13,0,13,14,0
2010/2011,LACANAU,COMMUNE DE LACANAU,Lacanau,20,33,152,67,0,46,58,48
2010/2011,LANSAC,COMMUNE DE LANSAC,Lansac,12,27,35,14,60,0,17,18
2010/2011,LANTON,COMMUNE DE LANTON,Lanton,30,25,37,11,0,5,8,24
2010/2011,LARUSCADE,COMMUNE DE LARUSCADE,Laruscade,18,32,30,14,60,0,16,14
2010/2011,LATRESNE,CDC PORTES ENTRE DEUX MERS,CDC ENTRE 2 MERS La Tresne,40,30,26,6,0,8,10,8
2010/2011,LATRESNE,CDC PORTES ENTRE DEUX MERS,CDC Porte entre 2 Mers La Tresne,0,0,0,0,0,0,0,0
2010/2011,LE-BARP,COMMUNE DU BARP,Le Barp,60,29,38,12,0,20,11,7
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Jaures,0,28,60,30,270,23,18,19
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Lafon féline,0,0,0,0,0,0,0,0
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Bouscat Centre1,0,0,0,0,0,0,0,0
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Féline,0,28,17,5,260,4,5,8
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Centre 2,0,28,44,14,260,12,19,13
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat Centre 1,0,28,54,18,270,29,19,6
2010/2011,LE-BOUSCAT,STADE BORDELAIS,Stade Bordelais,135,27,17,9,0,9,8,0
2010/2011,LE-BOUSCAT,COMMUNE DU BOUSCAT,Le Bouscat J Jaurès,0,0,0,0,0,0,0,0
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,Le Haillan Centre,70,32,30,8,0,23,5,2
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,A.S.Haillan EMS 1,0,0,0,0,0,0,0,0
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,A.S.Haillan EMS 2,0,0,0,0,0,0,0,0
2010/2011,LE-HAILLAN,ASSOCIATION SPORTIVE DU HAILLAN,LE Haillan Luz,70,32,14,4,0,12,2,0
2010/2011,LE-PIAN-SUR-GARONNE,VACANCES LOISIRS DE ST PIERRE D AURILLAC,A.V.L Pian sur Garonne,0,0,0,0,0,0,0,0
2010/2011,LE-PIAN-SUR-GARONNE,VACANCES LOISIRS DE ST PIERRE D AURILLAC,AVL Pian sur Garonne,25,35,20,8,0,6,8,6
2010/2011,LE-PORGE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Le Porge,0,0,0,0,0,0,0,0
2010/2011,LE-PORGE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Porge,30,33,12,5,0,4,6,2
2010/2011,LE-TEICH,COMMUNE DU TEICH,Le Teich,0,0,0,0,0,0,0,0
2010/2011,LE-TEICH,COMMUNE DU TEICH,LE TEICH,25,32,96,40,500,25,25,46
2010/2011,LE-TEMPLE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Le Temple,30,33,28,11,0,13,6,9
2010/2011,LE-TEMPLE,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Le Temple,0,0,0,0,0,0,0,0
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Lège Bourg,0,0,0,0,0,0,0,0
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Lège Claouey,0,0,0,0,0,0,0,0
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Phare,0,29,36,12,0,17,11,8
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Claouey,0,29,50,30,0,19,24,7
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,Lège Phare,0,0,0,0,0,0,0,0
2010/2011,LEGE-CAP-FERRET,COMMUNE DE LEGE CAP FERRET,LEGE Bourg,0,29,86,26,0,45,36,5
2010/2011,LEOGNAN,COMMUNE DE LEOGNAN,Léognan,0,34,46,7,0,10,15,21
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Couqueques,20,27,13,7,0,0,1,12
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc P.M Curie,20,29,26,8,0,0,3,23
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Begadan,20,27,10,5,0,0,0,10
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Gaillan,18,28,19,14,0,0,5,14
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc St Yzans,0,0,0,0,0,0,0,0
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Bégadan,0,0,0,0,0,0,0,0
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Civrac,20,29,14,10,0,0,0,14
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Notre Dame,18,29,15,7,0,0,4,11
2010/2011,LESPARRE-MEDOC,CDC DU COEUR MEDOC,CDC Coeur Médoc Beaugency,20,30,8,3,0,0,2,6
2010/2011,LIBOURNE,COMMUNE DE LIBOURNE,Libourne,0,34,112,51,0,24,51,37
2010/2011,LISTRAC-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,FRANCAS Listrac,30,33,14,5,0,5,3,6
2010/2011,LISTRAC-MEDOC,ASS. DEPARTEMENTALE DES FRANCAS GIRONDE,Francas Listrac,0,0,0,0,0,0,0,0
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Mercredi,0,0,0,0,0,0,0,0
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Paul fort,0,0,0,0,0,0,0,0
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Curie,0,0,0,0,0,0,0,0
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont R Rolland,0,0,0,0,0,0,0,0
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Rostand,0,31,40,20,0,0,14,26
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Pagnol,0,32,36,17,0,0,16,20
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont P.Fort,0,32,16,7,0,0,9,7
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont M.Curie,0,31,24,9,0,0,13,11
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Rolland,0,31,24,11,0,0,13,11
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Condorcet,0,32,24,12,0,0,16,8
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Camus,0,32,48,17,0,0,24,24
2010/2011,LORMONT,COMMUNE DE LORMONT,Lormont Ecoles Mercredi,0,32,60,20,0,24,24,12
2010/2011,LUDON-MEDOC,COMMUNE DE LUDON MEDOC,Ludon,48,32,65,25,200,24,20,21
2010/2011,LUDON-MEDOC,COMMUNE DE LUDON MEDOC,Ludon Médoc,0,0,0,0,0,0,0,0
2010/2011,LUGON-ET-L'ILE-DU-CARNAY,CDC DU FRONSADAIS,CDC Fronsac Lugon,18,29,14,8,0,0,0,14
2010/2011,LUSSAC,SIRPC LUSSAC ST CIBARD,SIRPC Lussac,0,30,14,6,0,0,7,7
2010/2011,LUSSAC,SIRPC LUSSAC ST CIBARD,SIRP Lussac St Cibard,0,0,0,0,0,0,0,0
2010/2011,MARCENAIS,COMMUNE DE MARCENAIS,Marcenais,0,32,15,7,50,0,5,10
2010/2011,MARCHEPRIME,CLUB DES ECUREUILS,Club des Ecureuils,0,34,37,16,250,8,16,13
2010/2011,MARGUERON,CDC DU PAYS FOYEN,CDC Pays Foyen Margueron,0,0,0,0,0,0,0,0
2010/2011,MARGUERON,CDC DU PAYS FOYEN,CDC Foyen Margueron,0,30,22,16,0,8,9,5
2010/2011,MARTIGNAS-SUR-JALLE,ASS SPORTIVE OMNISPORTS DE MARTIGNAS,AS Martignas sur jalles,0,0,0,0,0,0,0,0
2010/2011,MARTIGNAS-SUR-JALLE,ASS SPORTIVE OMNISPORTS DE MARTIGNAS,A.S Martignas,114,24,31,13,600,14,12,5
2010/2011,MARTILLAC,COMMUNE DE MARTILLAC,Martillac,0,0,0,0,0,0,0,0
2010/2011,MARTILLAC,COMMUNE DE MARTILLAC,MARTILLAC,0,35,46,20,0,15,22,9
2010/2011,MAURIAC,CDC DU PAYS SAUVETERROIS,CDC Sauveterre Mauriac,0,0,0,0,0,0,0,0
2010/2011,MAURIAC,CDC DU PAYS SAUVETERROIS,CDC Sauveterrois ALSH Mauriac,0,28,14,8,0,5,7,2
2010/2011,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,SAM Eveil,110,33,180,84,0,84,60,36
2010/2011,MERIGNAC,SPORT ATHLETIQUE MERIGNACAIS,SAM MERIGNAC EVEIL,0,0,0,0,0,0,0,0
2010/2011,MERIGNAC,ARTS ET LOISIRS ARLAC,Arts et Loisirs,0,0,0,0,0,0,0,0
2010/2011,MERIGNAC,AMICALE LAIQUE LA GLACIERE,Amicale Laïque de la Glacière,89,31,15,4,0,9,6,0
2010/2011,MERIGNAC,ARTS ET LOISIRS ARLAC,Arts et Loisirs Mérignac,0,35,9,1,0,4,2,3
2010/2011,MERIGNAC,CL2V MJC CENTRE SOCIAL BORDEAUX CAUDERAN,MJC CL2V,78,35,21,5,0,5,7,9
