TYPE,THEMES_DU_SITE,CATEGORIE,NOM_DU_SITE,ADRESSE,ADRESSE_SUITE,CODE_POSTAL,COMMUNE,TEL__INFORMATIONS,SITE_WEB,LABELS,LONGITUDE,LATITUDE
Site et monument historiques,Eglise,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Eglise Saint-Martin de Saint-Martin-de-Sescas,,,33490,SAINT-MARTIN-DE-SESCAS,+33 5 56 63 32 14,www.entredeuxmers.com,,-0.16222,44.575092
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Sainte-Radegonde,,,33230,SAINT-MEDARD-DE-GUIZIERES,+33 5 57 56 45 45,,,-0.118324,45.056057
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église de Saint-Michel de Fronsac,,,33126,SAINT-MICHEL-DE-FRONSAC,+33 5 57 51 27 47;+33 5 57 84 86 86,,,-0.302753,44.929882
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Michel-de-Lapujade,,,33190,SAINT-MICHEL-DE-LAPUJADE,+33 5 56 61 82 73,www.entredeuxmers.com,,-0.011378,44.57648
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Michel-de-Rieufret,,,33720,SAINT-MICHEL-DE-RIEUFRET,+33 5 56 62 52 25,www.saintmichel-de-rieufret.fr,,-0.432635,44.621758
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Maurille de Saint-Morillon,,,33650,SAINT-MORILLON,+33 5 56 78 47 72,www.otmontesquieu.com,,-0.502948,44.650146
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Palais,,,33820,SAINT-PALAIS,+33 5 57 32 61 58;+33 5 57 32 60 36,,,-0.538671,45.310818
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château des Jaubertes,,,33210,SAINT-PARDON-DE-CONQUES,+33 5 56 02 61 50;+33 5 56 63 68 00,www.chateau-des-jaubertes.com;www.sauternais-graves-langon.com,,-0.194713,44.559563
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Eutrope de Saint-Paul,Le bourg,,33390,SAINT-PAUL,+33 5 57 42 08 01,,,-0.6023597,45.148632
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre Es Liens,,,33760,SAINT-PIERRE-DE-BAT,+33 5 56 23 61 95,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Église Saint-Romain de Saint-Romain La Virvée,,,33240,SAINT-ROMAIN-LA-VIRVEE,+33 5 57 58 21 65;+33 5 57 84 86 86,,,-0.400122,44.965855
Site et monument historiques,Mégalithe,Sites et monuments historiques classés,Menhir de Pierrefitte,,,33330,SAINT-SULPICE-DE-FALEYRENS,+33 5 57 55 28 28,www.saint-emilion-tourisme.com,,-0.142355,44.881958
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise de Saint-Symphorien,,,33113,SAINT-SYMPHORIEN,+33 5 56 65 01 10,www.mairie-saint-symphorien-gironde.fr,,-0.491023,44.409096
Site et monument historiques,Eglise,Sites et monuments historiques classés,Eglise de Saint-Vivien-de-Médoc,,,33590,SAINT-VIVIEN-DE-MEDOC,+33 5 56 09 58 50,,,-1.0899553,45.41454
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Vivien de Saint-Vivien-de-Monségur,,,33580,SAINT-VIVIEN-DE-MONSEGUR,+33 5 56 61 82 73,www.entredeuxmers.com,,0.082404,44.65918
Site et monument historiques,Croix,Sites et monuments historiques inscrits,Colonne à la Vierge de Saint-Yzans-de-Médoc,,,33340,SAINT-YZANS-DE-MEDOC,+33 5 56 09 05 06,,,-0.8202773,45.321835
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre de Salignac,,,33240,SALIGNAC,+33 5 57 43 13 05,,,-0.380423,45.016212
Site et monument historiques,Cimetière militaire et mémorial,Sites et monuments historiques inscrits,Mémorial de la Ferme de Richemont,,,33650,SAUCATS,+33 5 57 78 47 72,www.otmontesquieu.com,,-0.630768,44.630524
Site et monument historiques,Château,Sites et monuments historiques inscrits,Château d'Yquem,,,33210,SAUTERNES,+33 5 56 63 68 00,www.sauternais-graves-langon.com;www.yquem.fr,,-0.321753,44.541557
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Pierre-ès-Liens de Sauternes,,,33210,SAUTERNES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.343388,44.5343
Site et monument historiques,Pigeonnier,Sites et monuments historiques inscrits,Pigeonnier du Château d'Yquem,,,33210,SAUTERNES,+33 5 56 63 68 00,www.sauternais-graves-langon.com,,-0.343268,44.531033
Site et monument historiques,Bastide,Sites et monuments historiques inscrits,Bastide de Sauveterre-de-Guyenne,,,33540,SAUVETERRE-DE-GUYENNE,+33 5 56 71 53 45,www.entredeuxmers.com,,-0.085669,44.692757
Site et monument historiques,Basilique,Sites et monuments historiques classés;Patrimoine mondial UNESCO,Basilique Notre-Dame de la Fin des Terres,Place Aliénor d'Aquitaine,,33780,SOULAC-SUR-MER,+33 5 56 09 86 61,www.soulac.com,,-1.1217856,45.513535
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Genès de Soulignac,,,33760,SOULIGNAC,+33 5 56 23 92 12,,,-0.586586,45.08703
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Romain de Targon,,,33760,TARGON,+33 (05) 56 23 90 13;+33 5 56 23 63 69,www.targon-tourisme.net,,-0.586586,45.08703
Site et monument historiques,Ruines et vestiges,Sites et monuments historiques inscrits,Ruines de l'église de Montarouch,Route de Branne,,33760,TARGON,+33 5 56 23 63 69,www.targon-tourisme.net,,-0.258611,44.756927
Site et monument historiques,Collégiale,Sites et monuments historiques classés,Collégiale d'Uzeste,,,33730,UZESTE,+33 6 09 92 20 23,www.cc-villandraut.fr,,-0.385505,44.42922
Site et monument historiques,Collégiale,Sites et monuments historiques inscrits,Circuit d'interprétation du patrimoine - Collégiale d'Uzeste,Collégiale d'Uzeste,,33730,UZESTE,+33 5 56 25 31 39,www.cc-villandraut.fr,,-0.323523,44.441036
Site et monument historiques,Château,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Château de Vayres,,,33870,VAYRES,+33 5 57 84 96 58,www.chateaudevayres.com,,-0.32573,44.89077
Site et monument historiques,Basilique,Sites et monuments historiques classés,Basilique Notre-Dame de Verdelais,,,33490,VERDELAIS,+33 5 56 62 02 06,www.verdelais.com,,-0.250404,44.5884
Site et monument historiques,Croix,Sites et monuments historiques classés,Croix votive de Verdelais,,,33490,VERDELAIS,+33 5 56 63 32 14,www.entredeuxmers.com;www.verdelais.com,,-0.2498853,44.588284
Site et monument historiques,Eglise,Sites et monuments historiques inscrits,Eglise Saint-Maurice d'Aubiac,Le bourg,,33490,VERDELAIS,+33 5 56 63 32 14,www.entredeuxmers.com,,-0.274052,44.583057
Site et monument historiques,Abbaye,Sites et monuments historiques inscrits;Sites et monuments historiques classés,Abbatiale et Abbaye de Vertheuil-Médoc,2 place Saint-Pierre,,33180,VERTHEUIL,+33 5 56 73 30 10,www.vertheuil-medoc.com,,-0.834644,45.250465
Site et monument historiques,Château,Sites et monuments historiques classés,Château de Villandraut,,,33730,VILLANDRAUT,+33 5 56 25 87 57,www.assoadichats.net,,-0.385505,44.42922
Site et monument historiques,Eglise,Sites et monuments historiques classés,Église Saint-Pierre de Villegouge,,,33141,VILLEGOUGE,+33 5 57 84 86 86,,,-0.307726,44.96746
