Sapi_Type,EPN/PAPI,Code,Pays,CDC,Population 1999,Code Insee Commune,Commune,Nom de la structure,Adresse accueil public,CP,CEDEX,Tel,adresse administrative,Fonction du responsable de la structure,Mél principal (adresse diffusable au près du public),Site Web,Fonction du Contact N°1,Grade N°1,Mél du contact N°1 (non diffusé),Tps travail hebdo N°1 (en heures),% tps consacré à accès internet N°1,Age N°1,Contrat N°1,Niveau formation N°1,Domaine formation N°1,Form. Qualif. N°1,Nom Contact N°2,Fonction Contact N°2,Grade N°2,Mél contact N°2,Tps hebdo N°2,% tps internet N°2,Age N°2,Contrat N°2,Niveau formation N°2,Domaine formation N°2,Form. Qualif. N°2, ,Nom Contact N°3,Fonction Contact N°3,Grade N°3,Mél contact N°3,Tps hebdo N°3,% tps internet N°3,Age N°3,Contrat N°3,Niveau formation N°3,Domaine formation N°3,Form. Qualif. N°3,,Horaires détaillés d'ouverture de l'accès internet,internet réservé inscrits ou adhérents,Coût de l'adhésion ou inscription annuelle,Accès libre à Internet Gratuit ou payant ?,Tarif horaire internet,HypNbH,Nbre heures ouverture hebdo,ouvert Soir,ouvert WE,HypCapa,HypNbPC,Nbre PC,Nbre postes Internet,implantation postes,Nbre professionnels Internet,Effectif total,Nbre bénévoles,Année ouverture SAPI,Nombre d'années SAPI, ,Nbre inscrits SAPI,Nbre visites/an,Nbre visiteurs/jour,Enfants (moins de 11 ans),Juniors (12-17 ans),Adultes (18-60 ans),Seniors (+ de 60 ans), ,Accès Libre,Initiation internet,Conseils équipement,e-administration,création artistique,Messagerie,Chat,Téléchargement,pages web,Animations,OPAC,Sélection sites, ,Emploi,Scolaires,Séniors,Assos,handicap,Touristes,Entreprises,,Type structure portage,Typologie DLL-ADBDP,"Si bibliothèque, le Prêt est informatisé",Labels,Affiliation à des réseaux associatifs régionaux ou nationaux,"Divers : Autres activités, projets ...",Nom personne répondant,Mél. Personne répondant, ,Médiacité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,Cyber-base,ECM,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Informatique,EPN,46A,5-Landes de Gascogne,Bazadais,,46,Bernos-Beaulac,Centre multimédia du Bazadais,"27, route de Bernos",33430,,05.56.25.20.35,,responsable,cmdb33@wanadoo.fr,,responsable,,cmdb33@wanadoo.fr,20,1,,FPT,,,,Brigitte CANALS,,,,20,1,,Contractuel CDD,CAP,Coiffure,"Autodidacte secrétariat burautique, infographie, création web",,,,,,,,,,,,,,"lundi, mardi, jeudi, vendredi : 9 -12h / 13h30-17h",adhésion,"4,00 €",Gratuit,,26,26,,,260,10,10,6 à 10,,2,2,,1998,5 ans et +,,,,,,,Oui,Oui,,Oui,Oui,,Oui,,Oui,Oui,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,Oui,,Intercommunale,,,,,"Centre de formation agréé, animation ds communes voisines",Brigitte Canals,,,,,DUI 2007,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,244A,5-Landes de Gascogne,Bazadais,248,244,Lignan-de-Bazas,Mairie,,33430,,05 56 25 02 31,,secrétaire mairie,mairiedelignandebazas@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lundi matin, mardi et vendredi Ap-midi",,,Gratuit,,15,15,,,15,1,1,1 ou 2,,,1,,,2 à 5 ans,,,,moins de 10,,,Oui,,,Oui,,,Oui,,,,Oui,,,,,,Oui,,Oui,,,,,,Municipale,,,,,Pas de haut-débit sur toute la commune,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,36A,5-Landes de Gascogne,Bazadais,,36,Bazas,Médiathèque,17 Esplanade Saint Sauveur,33430,,05.56.65.12.46,,Directrice médiathèque,mediatheque.bazas@orange.fr,www.mediathequebazas.net,Directrice médiathèque,,mediatheque.bazas@orange.fr,35,,25,CDD,Bac+4,Littéraire,Assistant Qualifié de Conservation du Patrimoine et des Bibliothèques,,,,,,,,,,,,,,,,,,,,,,,,,Mardi 15h-18h30 Mercredi 9h30-12h & 14h-17h30 Vendredi 9h30-12h & 15h-17h30 Samedi 9h30-12h,1,10,Gratuit,,17,17,,Ouvert WE,51,3,3,3 à 5,espace multimédia,,"1,5",10,2007,1 à 2 ans,,1504,1211,10 à 50,,,Oui,,,Oui,,,,,Oui,,Oui,,,Oui,,,,,Oui,,,Oui,Oui,,Municipale,B2,Oui,,,,Marie FELSMANN,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,36B,5-Landes de Gascogne,Bazadais,,36,Bazas,B@zas.jeunes ,"20, Av. Paul Lamarque",33430,,05 56 65 49 51,,,bijbazas@yahoo.fr ,www.ville-bazas.fr/orgmpaj.htm,,,j.darcos@ville-bazas.fr,,,,,,,,J.F PEYROUX,,,,,,,,,,,,,,,,,,,,,,,,"Lundi, mardi, jeudi, vendredi : 12h-14h /17h-19h Mercredi 16h30-19h (périodes scolaires)",,,Gratuit,,18,18,,,90,5,5,3 à 5,,,,,,,,,,,,Oui,Oui,,,Oui,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,initiations assurée par le Centre multimédia du Bazadais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,115A,5-Landes de Gascogne,Canton de Villandraut,190,115,Cazalis,Bibliothèque,16 Place de l'Eglise,33113,,05 56 65 22 04,,Maire,mairie.cazalis@wanadoo.fr,,Bénévole,,boudigues.corine@wanadoo.fr,,,40,,Bac+8,Histoire,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/vendredi :8h30-12h/13h-16h Mercredi : 17h-18h  Samedi :11h-12h,1,0,Gratuit,,6,6,,Ouvert WE,6,1,1,1 ou 2,espace multimédia,,0,6,2007,1 à 2 ans,,107,,moins de 10,,Oui,,Oui,,Oui,Oui,Oui,,,Oui,,,,,,,,Oui,Oui,Oui,,,,,,Municipale,,Oui,,,,Corine Boudigues,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,537A,5-Landes de Gascogne,Canton de Villandraut,416,537,Uzeste,Mairie,11 Place de l'Eglise,33730,,05 56 25 33 11,,,mairie-uzeste@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/jeudi : 10H30-12H30 Mardi : 15H30-18H30 Vendredi : 15H30-17H30,,,Gratuit,,9,9,,,9,1,1,1 ou 2,,1,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,,,Oui,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,329A,5-Landes de Gascogne,Canton de Villandraut,232,329,Pompéjac,Mairie,8 le bourg,33730,,05 56 25 49 49,,,pompeja.mairie@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 9H-12H/14H-17H Mercredi : 9H-12H/14H30-17H,,,Gratuit,,10,10,,,10,1,1,1 ou 2,,,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,Oui,,,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,115B,5-Landes de Gascogne,Canton de Villandraut,,115,Cazalis,Mairie,,33113,,05 56 65 22 04,,,mairie.cazalis@wanadoo.fr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi : 8H30-12H00/14H-17H Vendredi : 8H30-12H/14H-16H,,,Gratuit,,12,12,,,12,1,1,1 ou 2,,,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,255A,5-Landes de Gascogne,Canton de Villandraut,,255,Lucmau,Mairie,,33840,,05 56 65 22 65,,,mairie.lucmau@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 8h30-12h/14h-18h Mercredi : 8h30-12h Jeudi : 8h30-12h/14h-18h30,,,Gratuit,,19,19,,,19,1,1,1 ou 2,,,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,307A,5-Landes de Gascogne,Canton de Villandraut,,307,Noaillan,Mairie,,33730,,05 56 25 35 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 8H30-12H30/14H-19H Mardi au Vendredi : 8h30-12h/14h-17h,,,Gratuit,,35,35,,,35,1,1,1 ou 2,,,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,68A,5-Landes de Gascogne,Canton de Villandraut,85,68,Bourideys,Mairie,Bourg,33113,,05 56 25 71 57,,,mairie.bourideys@orange.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi : 9H-12H/14H-17H Jeudi : 14H-17H Vendredi : 9H-12H,,,Gratuit,,12,12,,,12,1,1,1 ou 2,,,,,,2 à 5 ans,,,10,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,Oui,,,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,336A,5-Landes de Gascogne,Canton de Villandraut,,336,Préchac,Mairie,19 rue Jeanne Emmanuel Lasserre,33730,,05 56 65 20 17,,,mairie-prechac33@prechac33.fr,www.prechac.fr ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mardi au vendredi : 09H-12H/14H-17H Samedi : 09H-12h,,,Gratuit,,27,27,,Ouvert WE,108,4,4,3 à 5,,,,,,2 à 5 ans,,,,,,,,,,Oui,Oui,,Oui,,Oui,,,,,,,,Oui,Oui,Oui,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,547A,5-Landes de Gascogne,Canton de Villandraut,826,547,Villandraut,Office du Tourisme,BP 12,33730,,05 56 25 31 39,,Présidente,officetourisme.villandraut@wanadoo.fr,,Hôtesse d'accueil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiver du Mardi au Samedi : 9h30-12h/14h-17h - Eté : du Mardi au Samedi : 9h-12h/14h-18h30 et dimanche 13h,,,Gratuit,,27,27,,Ouvert WE,27,1,1,1 ou 2,,,1,,,2 à 5 ans,,,,moins de 10,,1,1,,,Oui,Oui,,Oui,,Oui,,Oui,,,,,,Oui,,Oui,Oui,,Oui,,,Associative,,,,,,Delphine Pudal,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,327B,6-Rives de Garonne,Canton de Podensac,,327,Podensac,PIJ,Mairie - 11 place Gambetta,33720,,05 56 27 02 59 ,,,pijpodensac@yahoo.fr ,www.podensac.fr,Animatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 14h-17h mardi : 10-12h 14h-18h Mercredi 14h-18h Jeudi 14h-17h (+ 1 samedi par mois 10h-14H) ,,,,,17,17,,,17,1,1,1 ou 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,343A,6-Rives de Garonne,Canton de Podensac,722,343,Pujols-sur-Ciron,Mairie,Bourg,33210,,05 56 76 65 14,,,mairiepujols@wanadoo.fr,www.pujols-sur-ciron.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi au samedi : 8h30-12h + mardi/jeudi : 13h30-17h30 vendredi jusquà 19h,,,Gratuit,,32,32,,Ouvert WE,32,1,1,1 ou 2,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,Oui,,,Oui,,,Municipale,,,,,Mairie et agence postale,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,227B,6-Rives de Garonne,Pays de Langon,,227,Langon,Mission locale sud Gironde - Maison de l'Information,44 Cours Gambetta BP 72,33211,,05 57 98 09 80,,,pointcyb.mlsg@wanadoo.fr,,Resp. BIJ,,mlsg.bij@wanadoo.fr,,,,,,,,Nathalie Léglise,,,,,,,,,,,,,,,,,,,,,,,,Lundi : 8h30-12h30/13h30-17h mardi/mercredi : 8H30-12h30 vendredi 13h-16h30 ,,,Gratuit,,19,19,,,76,4,4,3 à 5,,2,,,2001,5 ans et +,,,307,,,,,,,Oui,Oui,,,,,,,,,,,,Oui,Oui,,,,,,,Associative,,,Point Cyb,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Informatique,EPN,227C,6-Rives de Garonne,Pays de Langon,,227,Langon,Club informatique du Langonnais,20 bis Rue Abel Gourgues Dotezac,33210,,05 56 76 17 57,,,cil.langon@laposte.net,www.cil-langon.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/mardi/jeudi/vendredi :  14h-17h (Accès libre)  Lundi/mardi/jeudi/vendredi : 9h-12h (initiation) Mercredi : 14h-17h (atelier multimédia),adhésion,,Payant,,27,27,,,297,11,11,6 à 10,,2,,,,,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,,,Associative,,,Net Public,,,,,,,,DUI 2007,,AECOM 2007,,,,Net Public,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,279A,6-Rives de Garonne,Pays de Langon,679,279,Mazères,Bibliothèque municipale,Bourg,33210,,05 56 62 84 23,,,biblimazeres@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Gratuit,,8,8,,Ouvert WE,24,3,3,3 à 5,,0,0,3,2006,1 à 2 ans,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,,,,,,,,,Oui,Oui,Oui,,Oui,,,,Intercommunale,PL,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,227A,6-Rives de Garonne,Pays de Langon,,227,Langon,Bibliothèque intercommunale,20-22 Cours du Maréchal de Lattre de Tassigny,33210,,05 56 62 33 39,,Bibliothécaire,bibliothequemunicipale.langon@wanadoo.fr,http://www.langon33.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,34,34,,,68,2,2,1 ou 2,postes dispersés,,4,,,2 à 5 ans,,1800,,moins de 10,,,Oui,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,Intercommunale,B1,Oui,,,,,,,Médias-Cité 2004,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,533A,6-Rives de Garonne,Pays de Langon,,533,Toulenne,Bibliothèque intercommunale,30 Rue de Vincennes,33210,,05.56.63.56.70,,Adjoint du Patrimoine,bibliotheque.toulenne@voila.fr,,,,bibliotheque.toulenne@voila.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Gratuit,,10,10,,Ouvert WE,50,5,5,3 à 5,espace multimédia,0,1,,2000,5 ans et +,,300,,10 à 50,,Oui,,,,Oui,Oui,,,,Oui,,,,,,,,,,,,,,,,Intercommunale,B2,,,,,Hélène Rozié,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,164A,6-Rives de Garonne,Pays de Langon,,164,Fargues,Bibliothèque intercommunale,,33210,,,,CONSEILLER MUNICIPAL,mairie-fargues@wanadoo.fr,,,,bibliotheque.fargues@orange.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,4,4,,,4,1,1,1 ou 2,postes dispersés,1,0,,,Moins  1 an,,58,,,,,Oui,,,,Oui,,,,,,,,,,,,,,,,,,,,Intercommunale,PL,,,,,,,,,BDP 2007,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,Projet,106A,6-Rives de Garonne,Pays de Langon,,106,Castets-en-Dorthe,Bibliothèque intercommunale,31 Grand rue,33210,,05.56.62.39.86,,adjoint du patrimoine,bibliotheque.castetsendorthe@voila.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,0,0,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intercommunale,B2,,,,,,,,,0,,ARPEL 2008,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,58A,7-Haute Gironde,Canton de Blaye,,58,Blaye,Bibliothèque Johel Coutura,27 cours de la République,33390,,05 57 42 23 58,,Directeur,bibliotheque@blaye.net,http://bm.blaye.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,24,24,,Ouvert WE,48,2,2,1 ou 2,postes dispersés,,3,,2001,5 ans et +,,1480,853,moins de 10,,,Oui,,,Oui,,,,,,,,,,Oui,,,Oui,Oui,Oui,,,,,,Municipale,B1,Oui,,,,,,,Médias-Cité 2004,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,58B,7-Haute Gironde,Canton de Blaye,,58,Blaye,PRIJ,rue André Lamandé,33390,,05 57 42 95 45,,,contact@prij-blaye.com,www.ccb-blaye.com/spip.php?article52,,,a.dubernard@prij-blaye.com,,,,,,,,Sabrina NICOLAS,,,,,,,,,,,,,,,,,,,,,,,,"Mardi : 14h-19h, Mercredi :  10h-18h, jeudi :  12h-18h, Vendredi : 12h-19h",,,Gratuit,,24,24,,,72,3,3,3 à 5,,1,4,,,5 ans et +,,,,,,,,,,Oui,,,,,,,,,,,,,Oui,Oui,,,,,,,Intercommunale,,,Point Cyb,,,,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,Point Cyb,Net Public,,,,,,,,,,,,,,,,,,,
Informatique,INI,58C,7-Haute Gironde,Canton de Blaye,,58,Blaye,Amicale laïque – Section Informatique,Ecole Vallaeys – 7 cours Vauban,33390,,06 20 48 30 64,,Président,lionel.wintersheim@free.fr,al.blaye.free.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associative,,,,,,,,,,,DUI 2007,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,458A,7-Haute Gironde,Canton de Blaye,859,458,Saint-Paul,Bibliothèque municipale,,33390,,,,,bibliotheque.saintpaul@orange.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EducPop,EPN,525A,7-Haute Gironde,Canton de Bourg sur Gironde,,525,Tauriac,Asso La clef des Champs,1 bis rue des Gombauds,33710,,05 57 68 39 39,,Coordinatrice,laclef.deschamps@wanadoo.fr,http://www.laclefdeschamps.org,Coordinatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lundi/mardi : 9h30-12h/14h-19h Mercredi : 9h30-12h Jeudi : 17h30-19h Vendredi : 14h-17h,,,Gratuit,,22,22,,,176,8,8,6 à 10,,2,,,,2 à 5 ans,,,,,,,Oui,,,Oui,Oui,Oui,Oui,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,,,Associative,,,,,,,,,,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,182A,7-Haute Gironde,Canton de Bourg sur Gironde,847,182,Gauriac,Bibliothèque municipale,40 Francicot Nord,33710,,05 57 64 80 08,,,mairie@gauriac.fr,www.gauriac.fr,,,mairie.gauriac@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mardi : 17h-19h ,,,Gratuit,,2,2,,,2,1,1,1 ou 2,,,,,,,,,100,,,,,,,Oui,,,,,,,,,,,,,Oui,,Oui,,,,,,Municipale,,,,,,,,,,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Services publics,PAPI,67A,7-Haute Gironde,Canton de Bourg sur Gironde,,67,Bourg,Maison des services au public,,33710,,05 57 94 06 80,,,,http://www.bourg-en-gironde.fr/Main.aspx?numStructure=39924&numRubrique=33485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lundi au vendredi 9h-13h 14h-17h,,,Gratuit,,35,35,,,105,3,3,3 à 5,,1,,,2007,1 à 2 ans,,,,,Oui,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,Intercommunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,PAPI,366B,7-Haute Gironde,Cubzaguais,,366,Saint-André-de-Cubzac,PRIJ du Cubzaguais,44 rue Dantagnan,33240,,05 57 94 83 32,,,prij@cdc-cubzaguais.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mardi/jeudi/vendredi : 16h-18h mercredi/samedi : 10h30-12h30/14h-18h,adhésion,,Gratuit,,18,18,,,18,1,1,1 ou 2,,1,2,,,,,,,,,Oui,,,,Oui,,,Oui,,,,,,,,,,Oui,Oui,,,,,,,Intercommunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,366A,7-Haute Gironde,Cubzaguais,,366,Saint-André-de-Cubzac,Bibliothèque municipale,"25 bis, rue Dantagnan ",33240,,05 57 43 67 39,,,mediatheque@saintandredecubzac.fr ,www.saintandredecubzac.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardi/Jeudi/Vendredi :15h–18h Mercredi : 9h30–12h30/15 h–18h  Samedi : 9h30–12h30/15h-18h,1,,Gratuit,,21,21,,Ouvert WE,84,4,4,3 à 5,postes dispersés,,5,,,5 ans et +,,,,,,,Oui,,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,,,,,,,,Oui,,,,,,Municipale,,Oui,,,,Armelle BERNARD,,,Médias-Cité 2004,,,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,EPN,389A,7-Haute Gironde,Estuaire - Canton de Saint-Ciers-sur-Giron,,389,Saint-Ciers-sur-Gironde,Médiathèque municipale,5 Rue du Petit Village,33820,,05 57 32 84 36,,Directrice de la Médiathèque,mediatheque.st-ciers-gironde@wanadoo,www.saint-ciers-sur-gironde.fr,Responsable de l'espace multimédia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,24,24,,Ouvert WE,96,4,4,3 à 5,espace multimédia,1,5,,,2 à 5 ans,,1014,8734,10 à 50,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,,Oui,,Oui,Oui,Oui,,Oui,,,,Municipale,B1,Oui,,,,,,,,BDP 2007,DUI 2007,ARPEL 2008,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
Jeunesse,EPN,389B,7-Haute Gironde,Estuaire - Canton de Saint-Ciers-sur-Giron,,389,Saint-Ciers-sur-Gironde,BIJ Point Accueil Jeunes,Place du 8 mai 1945,33820,,05 57 32 89 77,"Mairie, 32 AV. de la république BP22",Animateur territorial,bij.st-ciers.benoit@wanadoo.fr,,Animateur jeunesse multimédia,Animateur territorial,,35,"0,6",38,FPT,Bac+ 3,Littéraire,"Anthropologie, DUT animation, BPJEPS TIC",,,,,,,,,,,,,,,,,,,,,,,,,Mardi : 9h-12 Jeudi : 14h-18h Mercredi-Samedi : 14h-19h30,adhésion,0,Gratuit,,20,20,Ouvert soir,Ouvert WE,60,3,3,3 à 5,,1,1,,2000,5 ans et +,,124,981,10 à 50,1,1,,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,,Oui,Oui,,Oui,Oui,,,,Municipale,,,Point Cyb,,,Benoit Despujos,,,Médias-Cité 2004,,DUI 2007,,AECOM 2007,,,Point Cyb,,,,,,,,,,,,,,,,,,,,
EducPop,PAPI,73A,7-Haute Gironde,Estuaire - Canton de Saint-Ciers-sur-Giron,,73,Braud-et-Saint-Louis,Foyer d'Animation rural,"36, avenue de la République",33820,,05 57 42 61 00 (mairie),,,,http://www.mairie-braud.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mercredi : 14h-19h Samedi : 9h-13h / 14h-19h + vacances scolaires,,,Gratuit,,14,14,,Ouvert WE,28,2,2,1 ou 2,,1,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Associative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emploi-Formation,PAPI,351A,7-Haute Gironde,Estuaire - Canton de Saint-Ciers-sur-Giron,,351,Reignac,Centre de formation multimétiers - Dispositif Multiservices Insertion,"3, le grand verger",33860,,05 57 42 66 22,,,cfm@cc-estuaire.fr,http://www.centre-formation-multimetiers.fr,Conseiller Insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mardi et jeudi : 14h-17h30 ou sur RDV,,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,Intercommunale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatique,PAPI,159B,7-Haute Gironde,Estuaire - Canton de Saint-Ciers-sur-Giron,,159,Étauliers,Elan Etaulois – section informatique,,33820,,05 57 64 70 27,,,,http://www.etauliers.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,100A,7-Haute Gironde,Hors CDC,,100,Cars,Bibliothèque municipale,,33390,,,,,bibliotheque.cars@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gratuit,,15,,,,15,1,1,1 ou 2,,0,0,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibliothèque,PAPI,47A,7-Haute Gironde,Hors CDC,,47,Berson,Bibliothèque municipale,,33390,,,,,mairie-de-berson@wanadoo.fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Municipale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EducPop,itinérant,473B,7-Haute Gironde,Saint-Savin,,473,Saint-Savin,Internet rural Hte-Gironde – Cyberactibus,Place de la Libération,33920,,06 72 46 06 77,,,cyberactibus@hotmail.com,http://pagesperso-orange.fr/cyberactibus/site%20cyber/infos.htm,,,coordination@cyberactibus.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payant,,15,,Ouvert soir,,120,8,8,6 à 10,,1,,,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,,,,,,,,Oui,Oui,Oui,Oui,,,,,Associative,,,,,,,,,,,DUI 2007,,AECOM 2007,,,,,,,,,,,,,,,,,,,,,,,
